dataset_name,dataset_description,trial_idx,trial_seed,trial_key,num_agents,row_count,error_count,tp,fp,fn,precision,recall,f1_score,accuracy_by_label,e2e_ms,t_inf_ms,delta_sync_ms,c_tax_ms
chat_transcripts,"Conversation-style text with names, emails, phones, and usernames.",5,1047,chat_transcripts::5,1,20,0,0,0,0,0.0,0.0,0.0,"{'overall': {'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'tp': 0, 'fp': 0, 'fn': 0}, 'per_label': {}}",0.46416000000011337,0.07813499999986817,0.0,0.3860250000002452
chat_transcripts,"Conversation-style text with names, emails, phones, and usernames.",5,1047,chat_transcripts::5,2,20,0,0,0,0,0.0,0.0,0.0,"{'overall': {'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'tp': 0, 'fp': 0, 'fn': 0}, 'per_label': {}}",14.679844999999858,13.54257000000025,13.63780500000011,1.1372749999996046
chat_transcripts,"Conversation-style text with names, emails, phones, and usernames.",5,1047,chat_transcripts::5,3,20,0,0,0,0,0.0,0.0,0.0,"{'overall': {'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'tp': 0, 'fp': 0, 'fn': 0}, 'per_label': {}}",13.353539999999953,12.323439999999763,12.405820000000034,1.0301000000001892
chat_transcripts,"Conversation-style text with names, emails, phones, and usernames.",5,1047,chat_transcripts::5,4,20,0,0,0,0,0.0,0.0,0.0,"{'overall': {'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'tp': 0, 'fp': 0, 'fn': 0}, 'per_label': {}}",23.55032500000025,22.32998500000001,22.730674999999678,1.2203400000002418
chat_transcripts,"Conversation-style text with names, emails, phones, and usernames.",5,1047,chat_transcripts::5,5,20,0,0,0,0,0.0,0.0,0.0,"{'overall': {'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'tp': 0, 'fp': 0, 'fn': 0}, 'per_label': {}}",24.998349999999725,21.953705000000134,24.005040000000477,3.0446449999995906
chat_transcripts,"Conversation-style text with names, emails, phones, and usernames.",6,1048,chat_transcripts::6,1,20,0,0,0,0,0.0,0.0,0.0,"{'overall': {'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'tp': 0, 'fp': 0, 'fn': 0}, 'per_label': {}}",0.5369850000004561,0.081869999999995,0.0,0.4551150000004611
chat_transcripts,"Conversation-style text with names, emails, phones, and usernames.",6,1048,chat_transcripts::6,2,20,0,0,0,0,0.0,0.0,0.0,"{'overall': {'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'tp': 0, 'fp': 0, 'fn': 0}, 'per_label': {}}",12.914690000000917,11.846690000000493,11.934794999999099,1.0680000000004242
chat_transcripts,"Conversation-style text with names, emails, phones, and usernames.",6,1048,chat_transcripts::6,3,20,0,0,0,0,0.0,0.0,0.0,"{'overall': {'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'tp': 0, 'fp': 0, 'fn': 0}, 'per_label': {}}",13.638790000001677,12.577440000000095,12.663955000000016,1.0613500000015819
chat_transcripts,"Conversation-style text with names, emails, phones, and usernames.",6,1048,chat_transcripts::6,4,20,0,0,0,0,0.0,0.0,0.0,"{'overall': {'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'tp': 0, 'fp': 0, 'fn': 0}, 'per_label': {}}",22.482754999999344,21.28319000000154,21.62263000000131,1.1995649999978042
chat_transcripts,"Conversation-style text with names, emails, phones, and usernames.",6,1048,chat_transcripts::6,5,20,0,0,0,0,0.0,0.0,0.0,"{'overall': {'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'tp': 0, 'fp': 0, 'fn': 0}, 'per_label': {}}",28.603059999999658,25.540949999999185,27.61399499999939,3.062110000000473
chat_transcripts,"Conversation-style text with names, emails, phones, and usernames.",7,1049,chat_transcripts::7,1,20,0,0,0,0,0.0,0.0,0.0,"{'overall': {'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'tp': 0, 'fp': 0, 'fn': 0}, 'per_label': {}}",0.7349200000000167,0.11143999999916332,0.0,0.6234800000008534
chat_transcripts,"Conversation-style text with names, emails, phones, and usernames.",7,1049,chat_transcripts::7,2,20,0,0,0,0,0.0,0.0,0.0,"{'overall': {'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'tp': 0, 'fp': 0, 'fn': 0}, 'per_label': {}}",12.146524999998576,11.154229999999998,11.243100000000439,0.9922949999985775
